Title,Score
Gintama: The Final,9.04
Koe no Katachi,8.93
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90
Violet Evergarden Movie,8.86
Kimi no Na wa.,8.84
Kizumonogatari III: Reiketsu-hen,8.78
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.77
Sen to Chihiro no Kamikakushi,8.77
The First Slam Dunk,8.76
Haikyuu!! Movie: Gomisuteba no Kessen,8.68
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.66
Howl no Ugoku Shiro,8.66
Mononoke Hime,8.66
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61
Suzumiya Haruhi no Shoushitsu,8.60
Shin Evangelion Movie:||,8.59
Mushishi Zoku Shou: Suzu no Shizuku,8.59
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.58
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.58
Kizumonogatari II: Nekketsu-hen,8.57
Ookami Kodomo no Ame to Yuki,8.57
Kimi no Suizou wo Tabetai,8.55
Perfect Blue,8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55
Shoujo☆Kageki Revue Starlight Movie,8.52
Gintama Movie 1: Shinyaku Benizakura-hen,8.52
Hotaru no Haka,8.52
Kara no Kyoukai Movie 5: Mujun Rasen,8.52
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.48
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.48
Karakai Jouzu no Takagi-san Movie,8.46
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45
Jujutsu Kaisen 0 Movie,8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.43
Gintama: Yorinuki Gintama-san on Theater 2D,8.43
Saenai Heroine no Sodatekata Fine,8.42
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41
Yuru Camp△ Movie,8.41
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41
Fruits Basket: Prelude,8.40
Josee to Tora to Sakana-tachi,8.39
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39
Cowboy Bebop: Tengoku no Tobira,8.38
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37
Ramayana: The Legend of Prince Rama,8.37
Blue Giant,8.37
Kizumonogatari I: Tekketsu-hen,8.36
